"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.316313545E0,-4.344651103E-2,-2.031067200E-2,-1.901262067E-2
4.335122191E0,-1.290414855E-2,-5.360184610E-2,-1.259872504E-2
4.353930837E0,1.214058883E-2,-6.001574174E-2,9.086352773E-3
4.372739482E0,-6.872031372E-4,-1.878355257E-2,1.458397787E-2
4.391548128E0,-2.176143415E-2,3.161134571E-2,1.183516532E-2
4.410356774E0,-2.023431472E-2,3.527642787E-2,1.916533336E-2
4.429165420E0,-1.015533600E-2,-2.901524538E-3,2.008160390E-2
4.447974066E0,1.450762269E-3,-3.894151375E-2,2.038702741E-2
4.466782712E0,2.008160390E-2,-3.588727489E-2,2.130329795E-2
4.485591305E0,2.649549954E-2,-6.261184346E-3,1.183516532E-2
4.504399951E0,2.313583903E-2,1.847812906E-2,-2.825168660E-3
4.523208597E0,1.611109637E-2,1.206423342E-2,-8.628217503E-3
4.542017243E0,2.672456671E-3,-2.000524849E-2,-1.107160654E-2
4.560825889E0,5.344913807E-4,-4.688252881E-2,-2.214321401E-3
4.579634535E0,1.794363745E-2,-4.077405483E-2,6.032116711E-3
4.598443180E0,3.229855001E-2,7.635590737E-4,1.336228382E-2
4.617251826E0,3.413109109E-2,3.833066672E-2,1.427855436E-2
4.636060472E0,2.405211143E-2,3.955236077E-2,6.948387716E-3
4.654869118E0,1.152974181E-2,8.704573847E-3,6.948387716E-3
4.673677764E0,4.504998680E-3,-1.878355257E-2,5.726693198E-3
4.692486410E0,9.391776286E-3,-2.733541466E-2,5.115845706E-3
4.711295055E0,2.496838197E-2,-1.725643501E-2,1.183516532E-2
4.730103701E0,3.626905754E-2,1.985253533E-3,1.275143679E-2
4.748912347E0,3.840702027E-2,1.389677543E-2,5.115845706E-3
4.767720993E0,3.535278514E-2,5.344913341E-3,2.367033157E-3
4.786529639E0,2.283041552E-2,-7.482878864E-3,-7.635590737E-5
4.805338285E0,8.475505747E-3,-1.328592747E-2,-7.635590737E-5
4.824146930E0,2.367033157E-3,-1.084253844E-2,2.977880416E-3
4.842955524E0,-1.298050396E-3,4.123218823E-3,2.672456671E-3
