"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.926973597E0,-1.170090318E0,-9.661021233E0,-3.708875179E-2
2.945782243E0,-5.443671346E-1,-9.387042999E0,-4.977070987E-1
2.964590889E0,-2.297109663E-1,-9.567701340E0,-8.590233326E-1
2.983399535E0,-1.890329868E-1,-9.694520950E0,-8.051848412E-1
3.002208232E0,-2.416750938E-1,-9.665806770E0,-6.269195080E-1
3.021016878E0,-4.223332107E-1,-9.641879082E0,-5.611169338E-1
3.039825524E0,-8.267202377E-1,-9.713663101E0,-6.436693072E-1
3.058634170E0,-1.112662554E0,-9.734002113E0,-8.171489239E-1
3.077442816E0,-1.062413216E0,-9.730413437E0,-8.422735929E-1
3.096251462E0,-8.338986635E-1,-9.708877563E0,-6.795616150E-1
3.115060107E0,-5.527420044E-1,-9.699306488E0,-6.293123364E-1
3.133868753E0,-3.876372576E-1,-9.662218094E0,-6.017948985E-1
3.152677399E0,-3.337987661E-1,-9.683753014E0,-5.479564071E-1
3.171486045E0,-3.337987661E-1,-9.775876999E0,-5.778666735E-1
3.190294691E0,-4.785645306E-1,-9.815358162E0,-7.334001660E-1
3.209103337E0,-6.065805554E-1,-9.799804688E0,-8.757730722E-1
3.227912035E0,-7.154539824E-1,-9.745966911E0,-8.673982024E-1
3.246720680E0,-7.668996453E-1,-9.720842361E0,-6.197410822E-1
3.265529326E0,-7.668996453E-1,-9.671789169E0,-3.361915946E-1
3.284337972E0,-7.250252366E-1,-9.657432556E0,-2.057827413E-1
3.303146618E0,-6.209374666E-1,-9.655039787E0,-1.734796464E-1
3.321955264E0,-4.331009090E-1,-9.664610863E0,-3.864408433E-1
3.340763910E0,-3.206382394E-1,-9.717252731E0,-6.735795736E-1
3.359572555E0,-3.672982752E-1,-9.755537987E0,-8.470591903E-1
3.378381201E0,-4.618147612E-1,-9.716055870E0,-8.003991842E-1
3.397189847E0,-5.515456200E-1,-9.713663101E0,-5.802595019E-1
3.415998493E0,-6.652047038E-1,-9.708877563E0,-3.828516304E-1
3.434807139E0,-6.592226624E-1,-9.726823807E0,-3.098705411E-1
3.453615785E0,-6.041877270E-1,-9.708877563E0,-3.912265003E-1
3.472424430E0,-5.180460811E-1,-9.683753014E0,-5.312066078E-1
3.491233076E0,-4.606183469E-1,-9.668199539E0,-6.448656917E-1
3.510041774E0,-4.031906128E-1,-9.723235130E0,-6.759724021E-1
3.528850420E0,-4.737788737E-1,-9.775876999E0,-5.599204898E-1
3.547659014E0,-5.623133183E-1,-9.754341125E0,-4.881358147E-1
3.566467712E0,-5.778666735E-1,-9.759127617E0,-4.845465720E-1
3.585276357E0,-6.257231236E-1,-9.722038269E0,-4.773681164E-1
3.604085003E0,-6.329016089E-1,-9.731609344E0,-4.797609448E-1
3.622893649E0,-6.161518097E-1,-9.696913719E0,-4.462614357E-1
3.641702295E0,-6.520441771E-1,-9.665806770E0,-3.601198196E-1
3.660510941E0,-7.010970116E-1,-9.716055870E0,-3.326023519E-1
3.679319587E0,-6.951149702E-1,-9.735198975E0,-3.481557071E-1
3.698128232E0,-6.747759581E-1,-9.751948357E0,-3.840480447E-1
3.716936878E0,-6.999006271E-1,-9.701699257E0,-3.314059377E-1
3.735745524E0,-7.334001660E-1,-9.675378799E0,-2.991028428E-1
3.754554170E0,-6.496513486E-1,-9.698110580E0,-3.026920557E-1
3.773362816E0,-6.364908218E-1,-9.729216576E0,-2.476571500E-1
3.792171462E0,-6.269195080E-1,-9.734002113E0,-2.213360965E-1
3.810980107E0,-6.137589812E-1,-9.748359680E0,-2.703889608E-1
3.829788753E0,-5.994020700E-1,-9.718449593E0,-3.876372576E-1
3.848597399E0,-5.228317380E-1,-9.726823807E0,-4.737788737E-1
3.867406045E0,-4.725824594E-1,-9.729216576E0,-4.737788737E-1
3.886214691E0,-5.419743061E-1,-9.710074425E0,-3.601198196E-1
3.905023337E0,-5.754738450E-1,-9.720842361E0,-3.170489967E-1
3.923831982E0,-6.149554253E-1,-9.730413437E0,-2.919243574E-1
3.942640628E0,-6.759724021E-1,-9.711270332E0,-2.799602449E-1
3.961449274E0,-7.010970116E-1,-9.706484795E0,-2.333002090E-1
3.980257920E0,-7.393822074E-1,-9.707681656E0,-2.045863420E-1
3.999066566E0,-7.417750359E-1,-9.699306488E0,-2.392822653E-1
4.017875212E0,-7.094719410E-1,-9.698110580E0,-2.560320199E-1
4.036683857E0,-6.783652306E-1,-9.708877563E0,-2.548356056E-1
4.055492503E0,-6.520441771E-1,-9.751948357E0,-2.584248483E-1
4.074301149E0,-6.963114142E-1,-9.731609344E0,-2.763710022E-1
4.093109795E0,-6.795616150E-1,-9.700503349E0,-3.290131092E-1
4.111918441E0,-6.664010882E-1,-9.725627899E0,-3.613162339E-1
4.130727087E0,-6.640082598E-1,-9.738788605E0,-3.732803464E-1
4.149535732E0,-6.532405615E-1,-9.725627899E0,-4.235295951E-1
4.168344378E0,-7.046862841E-1,-9.706484795E0,-4.594219327E-1
4.187153024E0,-6.652047038E-1,-9.700503349E0,-4.941178858E-1
4.205961670E0,-5.802595019E-1,-9.716055870E0,-5.587241054E-1
4.224770316E0,-4.869394004E-1,-9.774680138E0,-5.982056856E-1
4.243578962E0,-3.888336718E-1,-9.737591743E0,-6.412764788E-1
4.262387607E0,-3.589234054E-1,-9.696913719E0,-6.352944374E-1
4.281196253E0,-4.522434771E-1,-9.692128181E0,-5.048855543E-1
4.300004899E0,-5.670989752E-1,-9.692128181E0,-3.385843933E-1
4.318813545E0,-7.334001660E-1,-9.696913719E0,-2.368894368E-1
4.337622191E0,-8.279166222E-1,-9.689735413E0,-2.955136001E-1
4.356430837E0,-7.668996453E-1,-9.694520950E0,-5.108676553E-1
4.375239482E0,-6.735795736E-1,-9.710074425E0,-6.352944374E-1
4.394048128E0,-6.843472719E-1,-9.708877563E0,-5.156532526E-1
4.412856774E0,-6.604190469E-1,-9.676574707E0,-3.960121572E-1
4.431665420E0,-6.424728632E-1,-9.655039787E0,-3.613162339E-1
4.450474066E0,-5.934200287E-1,-9.674181938E0,-3.696911037E-1
4.469282712E0,-5.036891699E-1,-9.684949875E0,-4.534398913E-1
4.488091305E0,-4.558327198E-1,-9.708877563E0,-5.347958803E-1
4.506899951E0,-5.419743061E-1,-9.732806206E0,-5.371887088E-1
