"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.619252032E0,7.417750359E-2,-2.763710260E0,6.540780544E0
4.638061459E0,-1.450050473E0,-3.579662561E0,8.008777618E0
4.656870886E0,-2.970689297E0,-4.523631096E0,8.800801277E0
4.675680313E0,-3.913461447E0,-4.853840828E0,8.103293419E0
4.694489740E0,-3.558127165E0,-5.095515728E0,7.532605648E0
4.713299219E0,-2.976671457E0,-5.565705299E0,7.569694519E0
4.732108647E0,-2.483749866E0,-5.797809124E0,7.618747234E0
4.750918074E0,-2.199003935E0,-5.929414749E0,7.728816986E0
4.769727501E0,-2.301895380E0,-6.028716564E0,7.907082558E0
4.788536928E0,-2.982653379E0,-5.991627693E0,8.047062874E0
4.807346355E0,-3.475574970E0,-5.789434433E0,7.828119278E0
4.826155782E0,-3.954139471E0,-5.053641319E0,7.686942577E0
4.844965209E0,-4.405186653E0,-4.267599106E0,8.110472679E0
4.863774636E0,-4.433900356E0,-3.903890133E0,8.627322197E0
4.882584063E0,-3.479164124E0,-3.795016766E0,9.265008926E0
4.901393490E0,-3.042474031E0,-3.754338741E0,9.412167549E0
4.920202917E0,-3.317648649E0,-3.778266907E0,9.772287369E0
4.939012344E0,-3.544966698E0,-3.836891174E0,9.728020668E0
4.957821824E0,-3.726821184E0,-3.521038532E0,1.056072235E1
4.976631199E0,-4.155136585E0,-2.860619545E0,1.054995537E1
4.995440678E0,-4.188635826E0,-2.267199516E0,9.767501831E0
5.014250105E0,-3.852444410E0,-1.903490424E0,9.430113792E0
5.033059532E0,-3.420539856E0,-1.691725612E0,9.180064201E0
5.051868959E0,-3.250649452E0,-1.423729420E0,8.880961418E0
5.070678386E0,-3.321237803E0,-1.185643673E0,8.696713448E0
5.089487813E0,-3.573680639E0,-1.000199914E0,8.370093346E0
5.108297240E0,-3.620340586E0,-9.439685345E-1,8.879764557E0
5.127106667E0,-4.065405846E0,-9.846464992E-1,8.829515457E0
5.145916094E0,-4.869394302E0,-1.128215909E0,9.016156197E0
5.164725522E0,-5.531009674E0,-1.209571838E0,9.553344727E0
5.183534949E0,-5.350351334E0,-1.128215909E0,1.005823040E1
5.202344376E0,-4.723432064E0,-8.901300430E-1,1.004985523E1
5.221153803E0,-4.097708702E0,-8.219345808E-1,9.698110580E0
5.239963230E0,-3.826123476E0,-9.188438654E-1,9.361918449E0
5.258772657E0,-3.791427374E0,-1.064806104E0,9.160921097E0
5.277582084E0,-3.890729666E0,-1.184447169E0,8.691927910E0
5.296391511E0,-3.863212109E0,-1.179661512E0,8.528019905E0
5.315200938E0,-3.766302824E0,-1.052842021E0,8.695517540E0
5.334010417E0,-3.745963812E0,-8.398807645E-1,8.833105087E0
5.352819792E0,-3.720839262E0,-6.652047038E-1,8.885746956E0
5.371629219E0,-3.735196114E0,-6.340979934E-1,8.609375954E0
5.390438699E0,-3.793820381E0,-5.443671346E-1,8.672785759E0
5.409248074E0,-3.907479286E0,-4.534398913E-1,8.914461136E0
5.428057553E0,-4.091726780E0,-4.031906128E-1,9.188439369E0
5.446866980E0,-4.204189301E0,-5.407779217E-1,9.255437851E0
5.465676407E0,-4.278367043E0,-7.848458290E-1,9.194420815E0
5.484485834E0,-4.149154663E0,-8.901300430E-1,9.213563919E0
5.503295261E0,-4.143172264E0,-8.709874153E-1,9.096315384E0
5.522104688E0,-4.335794449E0,-7.262216806E-1,9.126225471E0
5.540914115E0,-4.476971149E0,-6.245267391E-1,9.244669914E0
5.559723542E0,-4.398007870E0,-5.371887088E-1,9.012566566E0
5.578532969E0,-4.285545349E0,-4.223332107E-1,8.624929428E0
5.597342397E0,-4.230510235E0,-3.433700502E-1,8.452646255E0
5.616151824E0,-4.253242016E0,-2.775674164E-1,8.563912392E0
5.634961251E0,-4.387240410E0,-3.002992272E-1,8.751749039E0
5.653770678E0,-4.485345840E0,-4.283152521E-1,8.965906143E0
5.672580105E0,-4.754538536E0,-5.335994363E-1,8.757730484E0
5.691389532E0,-4.863411903E0,-3.816552162E-1,8.476573944E0
5.710198959E0,-4.892126083E0,-2.297109663E-1,8.434700012E0
5.729008386E0,-4.867001057E0,-2.548356056E-1,8.725427628E0
5.747817813E0,-4.547559261E0,-5.419743061E-1,8.586644173E0
5.766627240E0,-4.206582069E0,-8.721838593E-1,8.220541954E0
5.785436667E0,-3.865604877E0,-1.301695466E0,8.158329010E0
5.804246094E0,-3.566502094E0,-1.588834286E0,8.166703224E0
5.823055522E0,-3.583251953E0,-1.543370605E0,8.091329575E0
5.841864949E0,-3.999603033E0,-1.280160069E0,8.632107735E0
5.860674376E0,-4.244867325E0,-1.225125194E0,8.992227554E0
5.879483803E0,-4.541577339E0,-1.235892892E0,9.104690552E0
5.898293178E0,-4.857429981E0,-1.123430252E0,9.352347374E0
5.917102657E0,-4.624129772E0,-1.278963685E0,9.553344727E0
5.935912084E0,-4.429114819E0,-1.381855130E0,9.669396400E0
5.954721511E0,-4.415954113E0,-1.069591761E0,9.101100922E0
5.973530938E0,-4.682754040E0,-5.036891699E-1,8.965906143E0
5.992340365E0,-5.045266628E0,-1.914258115E-2,8.975478172E0
6.011149740E0,-5.212764263E0,-1.316052489E-2,8.714659691E0
6.029959167E0,-4.907679081E0,-7.609176040E-1,8.385646820E0
6.048768594E0,-4.609772682E0,-9.367900491E-1,7.933403492E0
6.067578022E0,-4.267599106E0,-7.429714203E-1,8.147561073E0
6.086387449E0,-4.219742775E0,-6.640082598E-1,8.766105652E0
6.105196876E0,-4.356133461E0,-7.202396393E-1,8.944371223E0
6.124006303E0,-4.667200565E0,-7.513462901E-1,8.853444099E0
6.142815730E0,-4.731806755E0,-8.973084688E-1,8.982656479E0
6.161625157E0,-4.699503899E0,-1.066002488E0,8.940781593E0
6.180434584E0,-4.840680122E0,-1.252642632E0,8.909674644E0
6.199244011E0,-4.798805714E0,-1.220339537E0,9.058030128E0
6.218053438E0,-4.928018093E0,-9.726824164E-1,9.024530411E0
6.236862865E0,-4.838287354E0,-8.231309652E-1,8.813961983E0
6.255672292E0,-4.794020176E0,-6.735795736E-1,8.666803360E0
6.274481719E0,-4.899304390E0,-5.623133183E-1,8.562715530E0
6.293291147E0,-4.912465096E0,-5.431707501E-1,8.560322762E0
6.312100574E0,-4.861019135E0,-6.436693072E-1,8.567501068E0
6.330910001E0,-4.796412945E0,-7.465606928E-1,8.470592499E0
6.349719428E0,-4.764110088E0,-7.429714203E-1,8.432307243E0
6.368528803E0,-4.822733879E0,-6.939185858E-1,8.567501068E0
6.387338230E0,-4.967499733E0,-6.927221417E-1,8.595019341E0
6.406147657E0,-5.221138954E0,-7.896314859E-1,8.542376518E0
6.424957084E0,-5.401797295E0,-7.776673436E-1,8.455039024E0
6.443766511E0,-5.440082073E0,-8.039883971E-1,8.440681458E0
6.462575938E0,-5.450850010E0,-7.908278704E-1,8.498109818E0
6.481385365E0,-5.430510998E0,-6.795616150E-1,8.484949112E0
6.500194792E0,-5.352744102E0,-4.749752879E-1,8.444271088E0
6.519004219E0,-5.335994720E0,-3.888336718E-1,8.585447311E0
6.537813647E0,-5.322834015E0,-4.043870270E-1,8.445467949E0
6.556623074E0,-5.337191105E0,-3.672982752E-1,8.421539307E0
6.575432501E0,-5.216353416E0,-2.572284341E-1,7.965706348E0
6.594241928E0,-4.482953072E0,-1.304088384E-1,6.918846607E0
6.613051355E0,-3.797409534E0,-2.584248483E-1,6.385247231E0
6.631860782E0,-4.264009953E0,-1.366301775E0,9.138189316E0
6.650670157E0,-5.498706341E0,-1.905883193E0,9.300901413E0
6.669479584E0,-6.625725746E0,-1.465603828E0,8.666803360E0
6.688289011E0,-6.410371780E0,-1.865205288E0,8.823533058E0
6.707098438E0,-5.387440205E0,-2.092523336E0,8.366504669E0
6.725907865E0,-4.938786030E0,-1.006181955E0,8.435895920E0
6.744717292E0,-4.784449100E0,-1.866401732E-1,8.670392990E0
6.763526719E0,-4.963910580E0,-2.404786795E-1,8.679964066E0
6.782336147E0,-5.051248550E0,-6.675975323E-1,8.635697365E0
6.801145574E0,-5.406582832E0,-7.800601721E-1,8.615358353E0
6.819955001E0,-5.326423168E0,-3.996013701E-1,8.419146538E0
6.838764428E0,-4.947160721E0,-1.172483116E-1,8.188239098E0
