"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.204973438E0,1.194435477E0,6.265766025E-1,-3.223746419E-1
4.223782500E0,1.215509653E0,4.472928941E-1,-5.115845799E-2
4.242591511E0,1.266209960E0,6.143596172E-1,4.176668078E-2
4.261400521E0,1.396625876E0,1.261857748E0,3.779617324E-2
4.280209531E0,1.361196756E0,1.104564548E0,4.909684882E-2
4.299018542E0,1.170001626E0,6.189410090E-1,-2.367033064E-2
4.317827552E0,8.128849864E-1,2.200577259E-1,3.657447919E-2
4.336636615E0,5.328115225E-1,6.520794332E-2,1.862320602E-1
4.355445625E0,4.298837483E-1,1.721062213E-1,2.751103342E-1
4.374254636E0,3.620797098E-1,4.845545888E-1,3.248943985E-1
4.393063646E0,2.591519356E-1,9.121476412E-1,3.041255772E-1
4.411872656E0,1.094943732E-1,1.190083146E0,2.711398304E-1
4.430681667E0,-1.450762246E-2,1.117392302E0,2.430408597E-1
4.449490729E0,-1.119377613E-1,6.021426916E-1,2.027249336E-1
4.468299740E0,-2.389939874E-1,-1.378987730E-1,1.043785289E-1
4.487108750E0,-4.219427407E-1,-5.267794132E-1,-3.863608837E-2
4.505917761E0,-9.909469485E-1,-7.717291713E-1,-9.758284688E-2
4.524726771E0,-1.972349405E0,-8.315922022E-1,-1.305686086E-1
4.543535781E0,-2.592970371E0,-6.422295570E-1,-2.212794125E-1
4.562344792E0,-2.630842686E0,-1.327905536E0,-5.926745534E-1
4.581153802E0,-2.345882654E0,-2.330916882E0,-1.024543524E0
4.599962865E0,-2.094824314E0,-2.920995235E0,-1.060889006E0
4.618771875E0,-1.912791848E0,-3.026061058E0,-7.356128097E-1
4.637580886E0,-1.745725155E0,-2.805239677E0,-4.784461260E-1
4.656389896E0,-1.608208179E0,-2.140637875E0,-3.828485310E-1
4.675198906E0,-1.594158649E0,-1.522765875E0,-3.376458287E-1
4.694007917E0,-1.640277624E0,-7.628718615E-1,-2.438807636E-1
4.712816927E0,-1.594158649E0,-1.904316396E-1,-1.458397806E-1
4.731625938E0,-1.480540991E0,-4.718795046E-2,-5.787777901E-2
4.750434948E0,-1.298508525E0,-7.650861889E-2,5.673243850E-2
4.769244011E0,-1.057223916E0,-1.748550236E-1,1.685174853E-1
4.788053021E0,-8.095253110E-1,-2.356343269E-1,2.506764531E-1
4.806862031E0,-5.554128885E-1,-1.730224788E-1,3.093177676E-1
4.825671042E0,-3.199312389E-1,-8.658760041E-2,3.487174213E-1
4.844480052E0,-1.085781008E-1,-2.179197669E-1,3.377221823E-1
4.863289063E0,7.162184268E-2,-5.050943494E-1,2.760266066E-1
4.882098073E0,1.693574041E-1,-9.177216291E-1,2.714452446E-1
4.900907084E0,4.497362971E-1,-1.435720086E0,3.090123534E-1
4.919716094E0,1.032255530E0,-1.698689818E0,2.818296552E-1
4.938525104E0,1.199933052E0,-1.306831360E0,1.104869992E-1
4.957334115E0,6.956022978E-1,3.680354729E-2,-1.391204596E-1
4.976143125E0,1.620272398E-1,1.247808218E0,-3.067980409E-1
4.994952136E0,2.183778957E-2,1.884921908E0,-2.841966748E-1
5.013761146E0,1.629435122E-1,2.087723255E0,-1.317902952E-1
5.032570156E0,2.212794125E-1,1.756644011E0,-1.632489264E-1
5.051379167E0,-1.908897609E-2,9.808679819E-1,-4.949389994E-1
5.070188177E0,-4.427115619E-1,-1.388150454E-1,-7.673768401E-1
5.088997240E0,-4.698942602E-1,-9.827768803E-1,-8.608365059E-1
5.107806250E0,-3.894151375E-2,-1.052718878E0,-8.926005363E-1
5.126615261E0,5.419742465E-1,-3.724641204E-1,-8.730534315E-1
5.145424271E0,7.435538173E-1,6.403206587E-1,-5.444176197E-1
5.164233281E0,8.414421231E-2,1.099677801E0,-1.511846948E-2
5.183042292E0,-9.561286569E-1,3.034383655E-1,2.305184901E-1
5.201851302E0,-4.152234197E-1,1.025765300E0,2.592283189E-1
5.220660313E0,2.521272004E-1,1.762447000E0,4.965424538E-1
5.239469323E0,6.595623493E-1,1.726101637E0,5.805339813E-1
5.258278334E0,7.453863621E-1,1.352263093E0,3.383330107E-1
5.277087344E0,7.032378912E-1,8.293778896E-1,6.253548712E-2
5.295896354E0,6.812474132E-1,3.932329118E-1,-4.932591692E-2
5.314705365E0,8.098307252E-1,7.895200700E-2,-4.291202128E-2
5.333514323E0,1.170917869E0,1.079672500E-1,3.199312463E-2
5.352323386E0,1.218258500E0,5.615213513E-1,9.643751383E-2
5.371132344E0,8.055548072E-1,1.002247691E0,1.794363745E-2
5.389941354E0,5.245651007E-1,1.075854778E0,-3.817795310E-3
5.408750365E0,6.638382673E-1,7.331694365E-1,1.691283286E-1
5.427559375E0,8.635852933E-1,4.323271513E-1,3.114557564E-1
5.446368386E0,9.998806119E-1,1.192679256E-1,3.762055635E-1
5.465177396E0,1.116552472E0,-4.857762754E-1,3.160370886E-1
5.483986406E0,1.080512404E0,-8.822925091E-1,2.344889939E-1
5.502795417E0,8.990144730E-1,-7.537091374E-1,2.674747407E-1
5.521604427E0,6.360446811E-1,5.909947306E-2,2.430408597E-1
5.540413438E0,3.800997138E-1,9.891144037E-1,1.804290116E-1
5.559222448E0,2.243336588E-1,1.449693203E0,2.033357769E-1
5.578031459E0,1.027750522E-1,1.671125412E0,2.696126997E-1
5.596840469E0,-7.177455351E-3,1.574306130E0,4.061370790E-1
5.615649479E0,-1.430909634E-1,1.442668557E0,5.487698913E-1
5.634458438E0,-2.063136548E-1,1.161373377E0,5.670953393E-1
5.653267448E0,-1.149920002E-1,7.643226385E-1,4.088858962E-1
5.672076459E0,8.093725890E-3,9.880454093E-2,3.416926861E-1
5.690885469E0,5.955760833E-3,-4.155288339E-1,3.151208162E-1
5.709694479E0,-1.226275861E-1,-7.830298543E-1,2.195232362E-1
5.728503490E0,-3.733803928E-1,-1.231086254E0,1.630198658E-1
5.747312500E0,-8.510629535E-1,-1.361196756E0,2.451788187E-1
5.766121511E0,-1.476265073E0,-1.329738140E0,5.759525895E-1
5.784930469E0,-2.097573042E0,-1.205125332E0,8.798491359E-1
5.803739479E0,-2.430790424E0,-1.099754095E0,9.467368722E-1
5.822548490E0,-2.539215803E0,-8.370898366E-1,8.089908361E-1
5.841357500E0,-2.416740894E0,-4.033119082E-1,7.298861146E-1
5.860166511E0,-1.978763342E0,-1.374406274E-3,6.471163034E-1
5.878975469E0,-1.387692213E0,3.804051280E-1,6.431457996E-1
5.897784479E0,-8.168554902E-1,2.145601064E-1,5.047888756E-1
5.916593490E0,-5.902311802E-1,-1.992889196E-1,2.735832036E-1
5.935402500E0,-8.761076927E-1,-3.923166394E-1,-1.470614821E-1
5.954211511E0,-1.216044188E0,-4.509579837E-1,-5.267030597E-1
5.973020469E0,-1.293621778E0,-3.113794029E-1,-7.896727920E-1
5.991829479E0,-1.188556075E0,2.133384049E-1,-8.739697337E-1
6.010638490E0,-9.964445829E-1,8.364025950E-1,-7.988355160E-1
6.029447500E0,-7.594358325E-1,1.187639832E0,-6.036698222E-1
6.048256459E0,-5.086830258E-1,1.287207842E0,-2.704526186E-1
6.067065469E0,-2.029540092E-1,1.134496093E0,1.083490327E-1
6.085874479E0,1.265980899E-1,6.904101372E-1,4.742465317E-1
6.104683490E0,5.325061083E-1,6.765133142E-2,7.295807004E-1
6.123492448E0,1.033171773E0,-5.099810958E-1,8.260945678E-1
6.142301459E0,1.519406199E0,-1.054856896E0,8.541935086E-1
6.161110469E0,1.750611901E0,-1.345620155E0,7.924979329E-1
6.179919427E0,1.432054996E0,-8.679376245E-1,5.866424441E-1
6.198728438E0,7.875348330E-1,4.451549351E-1,3.624614775E-1
6.217537448E0,3.660502136E-1,1.960667014E0,1.804290116E-1
6.236346406E0,1.889045089E-1,3.365386724E0,6.284090877E-2
6.255155417E0,1.265980899E-1,4.409324646E0,-5.940489471E-2
6.273964427E0,1.898207814E-1,4.822868347E0,-1.748550236E-1
6.292773386E0,5.349494815E-1,4.437423706E0,-1.855448484E-1
6.311582396E0,8.177717924E-1,3.605755091E0,-8.414421231E-2
6.330391406E0,5.764871240E-1,2.348936796E0,1.458397787E-2
6.349200365E0,-3.512371797E-3,9.674293399E-1,8.116632700E-2
6.368009375E0,-3.504736125E-1,2.519745007E-2,9.918632358E-2
6.386818386E0,-2.771719396E-1,-3.660502136E-1,1.065164879E-1
6.405627344E0,1.939439960E-2,-3.196258247E-1,1.184280142E-1
6.424436354E0,2.087570578E-1,8.719844371E-2,1.770693511E-1
6.443245313E0,3.000787199E-1,8.477032781E-1,2.024195045E-1
6.462054323E0,3.187095523E-1,1.413347840E0,-4.474456236E-2
6.480863281E0,7.864658535E-2,1.858044624E0,-5.306735635E-1
6.499672292E0,6.261184346E-3,2.435066223E0,-8.263236284E-1
6.518481250E0,-4.790569544E-1,2.246314526E0,-5.661026835E-1
6.537290261E0,-1.088377118E0,1.566365123E0,1.340046227E-1
6.556099271E0,-1.193748236E0,8.073873520E-1,9.656731486E-1
6.574908229E0,-4.650074840E-1,6.003101468E-1,1.286062598E0
6.593717240E0,7.973083854E-1,1.072189689E0,9.937721491E-1
6.612526198E0,1.547505140E0,7.667660117E-1,4.879906178E-1
6.631335209E0,1.946083069E0,-9.055810422E-2,3.493282795E-1
6.650144167E0,2.132696867E0,-7.530983090E-1,4.959316254E-1
6.668953177E0,2.364818811E0,5.909947306E-2,4.324035048E-1
6.687762136E0,2.384060383E0,2.357183218E0,2.567849159E-1
6.706571146E0,1.812002063E0,2.765229225E0,6.467345357E-2
6.725380104E0,1.357837081E0,2.094137192E0,-3.206948051E-3
6.744189063E0,1.310496449E0,1.153126955E0,1.752368063E-1
6.762998073E0,1.367610693E0,8.872556686E-2,4.528668821E-1
6.781807031E0,1.301333785E0,-4.417952895E-1,6.147413850E-1
6.800616042E0,1.309580207E0,-3.092414141E-1,6.000810862E-1
6.819425000E0,1.293087244E0,3.055763543E-1,7.662315369E-1
6.838234011E0,1.116857886E0,1.147934675E0,9.384904504E-1
6.857042969E0,8.455653191E-1,1.382500052E0,8.825979233E-1
6.875851927E0,5.392253995E-1,9.280297160E-1,6.361210346E-1
6.894660938E0,4.008685052E-1,2.933593988E-1,4.849363565E-1
6.913469896E0,4.002576768E-1,-1.272089481E-1,5.530458093E-1
6.932278854E0,4.818057716E-1,-4.123218823E-3,5.322770476E-1
6.951087865E0,2.273878902E-1,2.851129472E-1,4.388174117E-1
6.969896823E0,-4.103366435E-1,1.861557066E-1,2.977116704E-1
6.988705781E0,-1.037982225E0,-3.852919042E-1,-7.482878864E-3
7.007514792E0,-1.515359282E0,-1.126631379E0,-2.790044844E-1
7.026323750E0,-2.219131708E0,-1.977541685E0,-3.547495604E-1
7.045132709E0,-3.023922920E0,-3.088978291E0,-5.312843919E-1
7.063941719E0,-3.603006124E0,-4.063050747E0,-1.001636744E0
7.082750677E0,-4.066028595E0,-4.354424477E0,-1.346460104E0
7.101559636E0,-4.286849499E0,-4.047168732E0,-1.290567517E0
7.120368594E0,-3.820162296E0,-2.914886713E0,-1.060583591E0
7.139177604E0,-2.877319574E0,-1.005683661E0,-9.772028923E-1
7.157986563E0,-2.017246723E0,7.420266867E-1,-9.063445926E-1
7.176795521E0,-1.436865449E0,1.811314821E0,-7.725690603E-1
7.195604479E0,-1.034011722E0,2.484850407E0,-6.311579347E-1
7.214413490E0,-8.101361990E-1,2.593275785E0,-4.424061179E-1
7.233222448E0,-8.877137899E-1,2.050156116E0,-2.683146596E-1
7.252031406E0,-1.171757698E0,1.087155461E0,-2.793098986E-1
7.270840365E0,-1.187334418E0,-1.327065676E-1,-2.585411072E-1
7.289649323E0,-1.019962192E0,-9.143620133E-1,-1.913478971E-1
7.308458334E0,-7.524111271E-1,-1.349285245E0,-1.067455560E-1
