"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.687789896E0,1.170154333E0,1.294614434E0,-3.782671690E-1
3.706599531E0,1.169848800E0,1.364251018E0,-4.750864506E-1
3.725409219E0,1.029048562E0,9.723924994E-1,-6.769714952E-1
3.744218854E0,8.848885894E-1,5.826719403E-1,-5.975613594E-1
3.763028542E0,6.741462946E-1,1.874537468E-1,-4.103366435E-1
3.781838177E0,4.209501147E-1,-4.718795046E-2,-4.494308829E-1
3.800647813E0,2.547996640E-1,2.271588296E-1,-3.990359604E-1
3.819457500E0,7.635590737E-5,6.309288740E-1,-2.377723008E-1
3.838267136E0,-1.010188684E-1,9.415447116E-1,-1.794363856E-1
3.857076823E0,-4.909684882E-2,7.793647647E-1,-1.721062213E-1
3.875886458E0,1.076618303E-2,4.290438294E-1,-1.632489264E-1
3.894696146E0,5.780142173E-2,1.969218850E-1,-5.024218559E-2
3.913505781E0,7.918107510E-2,-2.153236605E-2,6.612421572E-2
3.932315417E0,7.795938104E-2,-6.123743951E-2,2.108950168E-1
3.951125104E0,3.794888780E-2,-1.482831687E-1,1.998997629E-1
3.969934740E0,3.581092134E-2,-1.644706279E-1,5.650337320E-3
3.988744427E0,7.551599294E-2,-2.295258641E-1,-4.107947648E-2
4.007554063E0,1.213295385E-1,-3.831539452E-1,7.375980914E-2
4.026363698E0,1.479013860E-1,-4.152234197E-1,1.021642014E-1
4.045173386E0,1.317139417E-1,-4.469874799E-1,1.055238619E-1
4.063983021E0,2.141783237E-1,-4.057552814E-1,9.177979827E-2
4.082792708E0,2.242573053E-1,-5.120427012E-1,1.168245375E-1
4.101602344E0,2.462477982E-1,-2.341072112E-1,1.146865711E-1
4.120412031E0,7.068266273E-1,1.346230984E0,1.650814712E-1
4.139221667E0,1.321949840E0,2.816005945E0,6.663579941E-1
4.158031302E0,1.315841317E0,1.360585928E0,2.154763639E-1
4.176840990E0,9.096279144E-1,-1.224596024E0,-2.289150059E-1
4.195650625E0,-5.827482939E-1,-4.544322014E0,1.457710624E0
4.214460313E0,-2.970932007E0,-6.766049862E0,4.749642849E0
4.233269948E0,-4.156891823E0,-3.723953962E0,4.488811016E0
4.252079636E0,-4.078092575E0,-3.245126009E-1,2.667798996E0
4.270889271E0,-3.617819309E0,2.324197531E0,1.009348750E0
4.289698958E0,-2.050308943E0,4.577689171E0,8.093725890E-3
4.308508594E0,2.712009192E0,5.707527637E0,-3.324536085E-1
4.327318281E0,1.785582900E0,4.753613472E0,-3.804051280E-1
4.346127917E0,1.613400280E-1,1.143124342E0,-7.056813240E-1
4.364937552E0,-3.652866483E-1,-1.986322522E0,-6.012263894E-1
4.383747240E0,-4.367557764E-1,-2.469197273E0,-2.722851634E-1
4.402556875E0,-5.784723759E-1,-8.675557971E-1,-5.573981255E-2
4.421366563E0,-2.021904439E-1,7.411867976E-1,2.061609551E-2
4.440176198E0,2.981698215E-1,7.601230741E-1,-4.474456236E-2
4.458985886E0,1.521773189E-1,-3.069507517E-2,3.206948051E-3
4.477795521E0,-6.406260282E-2,-3.984251320E-1,3.497100621E-2
4.496605208E0,-9.460496902E-2,-1.247655526E-1,2.367033064E-2
4.515414844E0,-1.641651988E-2,1.159846261E-1,-3.817795310E-3
4.534224479E0,2.848075330E-2,4.734066315E-3,-3.206948051E-3
4.553034167E0,1.229330152E-2,-7.131642103E-2,2.153236605E-2
4.571843802E0,-1.211768240E-1,-1.693574041E-1,8.200624585E-2
4.590653490E0,-2.388412803E-1,-3.455868363E-1,4.016320780E-2
4.609463125E0,-1.016297117E-1,-2.032594234E-1,-9.926267900E-3
4.628272813E0,1.646996886E-1,3.276431859E-1,-9.758284688E-2
4.647082448E0,-2.241809368E-1,-3.471139669E-1,-2.428117767E-2
4.665892136E0,-5.387672782E-1,-1.415791273E0,-9.926267900E-3
4.684701771E0,-1.425564736E-1,-7.185090780E-1,7.681404054E-2
4.703511406E0,-1.120141149E-1,-5.039489828E-3,5.696150661E-2
4.722321094E0,2.804552615E-1,1.312328935E0,-4.779879749E-2
4.741130729E0,5.855734348E-1,2.297930956E0,4.840964451E-2
4.759940417E0,3.024457395E-1,1.742976308E0,-4.352286831E-2
4.778750052E0,-1.123195365E-1,1.282015741E-1,-1.180462316E-1
4.797559740E0,-8.238802105E-2,-2.930539846E-1,-8.719844371E-2
4.816369375E0,-4.665346071E-2,1.480541080E-1,-1.543916464E-1
4.835179063E0,-2.947337925E-1,-1.186570823E-1,-1.162136942E-1
4.853988698E0,6.085565686E-2,8.044095039E-1,1.910424829E-1
4.872798333E0,2.682383060E-1,1.229864597E0,1.687465608E-1
4.891608021E0,4.188121557E-1,1.163893104E0,4.123218823E-3
4.910417656E0,6.032879949E-1,7.405759692E-1,-1.519482583E-1
4.929227344E0,9.071845412E-1,2.885489762E-1,-3.571929336E-1
4.948036979E0,1.192755580E0,1.282015741E-1,-3.458922505E-1
4.966846667E0,1.478326678E0,2.989333868E-1,-2.854183912E-1
4.985656302E0,1.651807308E0,4.827983975E-1,-4.657710344E-2
5.004465990E0,1.765730381E0,5.148679018E-1,9.513945878E-2
5.023275625E0,2.192712545E0,8.010498285E-1,1.846285909E-1
5.042085313E0,2.747743607E0,1.324851394E0,4.934882224E-1
5.060894948E0,2.998801947E0,1.512076020E0,6.471163034E-1
5.079704583E0,3.044920921E0,1.517268181E0,4.549284875E-1
5.098514271E0,3.120360613E0,1.548115969E0,7.479060888E-1
5.117323906E0,2.901066303E0,1.403650641E0,7.891383171E-1
5.136133594E0,2.558686495E0,8.037986159E-1,4.992912710E-1
5.154943229E0,1.929131985E0,9.116895497E-2,3.206948051E-3
5.173752917E0,1.177789927E0,-5.486935377E-1,-3.263451457E-1
5.192562552E0,7.865421772E-1,-5.767925382E-1,-5.398362875E-1
5.211372240E0,6.671215892E-1,-7.192726433E-2,-6.253548861E-1
5.230181875E0,4.218663871E-1,-7.192726433E-2,-3.862081766E-1
