"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.173738923E2,-1.296909928E0,1.125823021E0,-9.682557106E0
7.173927036E2,-1.302891970E0,1.109073281E0,-9.695717812E0
7.174115148E2,-1.298106313E0,1.121037364E0,-9.694520950E0
7.174303261E2,-1.284945726E0,1.116251707E0,-9.670592308E0
7.174491373E2,-1.276570916E0,1.121037364E0,-9.668199539E0
7.174679486E2,-1.264606714E0,1.122233868E0,-9.668199539E0
7.174867598E2,-1.261017561E0,1.116251707E0,-9.682557106E0
7.175055711E2,-1.261017561E0,1.112662554E0,-9.682557106E0
7.175243823E2,-1.277767301E0,1.113858938E0,-9.704092026E0
7.175431936E2,-1.272981644E0,1.115055323E0,-9.689735413E0
7.175620048E2,-1.269392371E0,1.118644595E0,-9.687342644E0
7.175808161E2,-1.268195987E0,1.109073281E0,-9.687342644E0
7.175996273E2,-1.280160069E0,1.127019525E0,-9.694520950E0
7.176184386E2,-1.272981644E0,1.107876897E0,-9.682557106E0
7.176372498E2,-1.261017561E0,1.112662554E0,-9.682557106E0
7.176560611E2,-1.270588875E0,1.101894855E0,-9.678967476E0
7.176748722E2,-1.271785259E0,1.130608678E0,-9.681360245E0
7.176936835E2,-1.271785259E0,1.104287624E0,-9.678967476E0
7.177124947E2,-1.264606714E0,1.110269666E0,-9.686145782E0
7.177313060E2,-1.280160069E0,1.121037364E0,-9.684949875E0
7.177501172E2,-1.258624673E0,1.121037364E0,-9.677771568E0
7.177689285E2,-1.271785259E0,1.128215909E0,-9.678967476E0
7.177877397E2,-1.276570916E0,1.121037364E0,-9.677771568E0
7.178065510E2,-1.264606714E0,1.113858938E0,-9.689735413E0
7.178253622E2,-1.272981644E0,1.103091240E0,-9.683753014E0
7.178441735E2,-1.247856975E0,1.107876897E0,-9.705288887E0
7.178629847E2,-1.257428288E0,1.117448211E0,-9.671789169E0
7.178817960E2,-1.266999602E0,1.127019525E0,-9.680164337E0
7.179006072E2,-1.276570916E0,1.149751306E0,-9.664610863E0
7.179194185E2,-1.296909928E0,1.155733347E0,-9.653842926E0
7.179382297E2,-1.281356573E0,1.093519926E0,-9.690931320E0
7.179570409E2,-1.270588875E0,1.063609719E0,-9.696913719E0
7.179758522E2,-1.234696507E0,1.083948612E0,-9.714859962E0
7.179946634E2,-1.235892892E0,1.118644595E0,-9.714859962E0
7.180134747E2,-1.258624673E0,1.133001566E0,-9.692128181E0
7.180322859E2,-1.266999602E0,1.113858938E0,-9.668199539E0
7.180510972E2,-1.290927768E0,1.135394335E0,-9.662218094E0
7.180699084E2,-1.301695466E0,1.131805062E0,-9.675378799E0
7.180887196E2,-1.311266780E0,1.116251707E0,-9.677771568E0
7.181075309E2,-1.276570916E0,1.105484009E0,-9.668199539E0
7.181263421E2,-1.253839016E0,1.077966571E0,-9.669396400E0
7.181451534E2,-1.234696507E0,1.097109199E0,-9.659825325E0
7.181639646E2,-1.226321578E0,1.100698471E0,-9.670592308E0
7.181827759E2,-1.234696507E0,1.106680512E0,-9.683753014E0
7.182015871E2,-1.258624673E0,1.103091240E0,-9.698110580E0
7.182203984E2,-1.296909928E0,1.138983607E0,-9.716055870E0
7.182392096E2,-1.329213023E0,1.141376376E0,-9.704092026E0
7.182580208E2,-1.337587833E0,1.110269666E0,-9.700503349E0
7.182768321E2,-1.301695466E0,1.104287624E0,-9.676574707E0
7.182956433E2,-1.274178028E0,1.097109199E0,-9.670592308E0
7.183144546E2,-1.264606714E0,1.121037364E0,-9.664610863E0
7.183332658E2,-1.251446247E0,1.100698471E0,-9.678967476E0
7.183520771E2,-1.265803218E0,1.117448211E0,-9.706484795E0
7.183708883E2,-1.275374413E0,1.123430252E0,-9.674181938E0
7.183896995E2,-1.295713425E0,1.140179992E0,-9.676574707E0
7.184085108E2,-1.296909928E0,1.118644595E0,-9.671789169E0
7.184273220E2,-1.319641709E0,1.121037364E0,-9.710074425E0
7.184461333E2,-1.299302697E0,1.098305583E0,-9.708877563E0
7.184649445E2,-1.287338614E0,1.105484009E0,-9.680164337E0
7.184837558E2,-1.282552958E0,1.119840980E0,-9.669396400E0
7.185025670E2,-1.268195987E0,1.113858938E0,-9.657432556E0
7.185213782E2,-1.268195987E0,1.123430252E0,-9.661021233E0
7.185401895E2,-1.263410330E0,1.118644595E0,-9.670592308E0
7.185590007E2,-1.262213945E0,1.123430252E0,-9.694520950E0
7.185778120E2,-1.278963685E0,1.124626637E0,-9.704092026E0
7.185966232E2,-1.307677627E0,1.101894855E0,-9.696913719E0
7.186154345E2,-1.313659668E0,1.111466169E0,-9.694520950E0
7.186342457E2,-1.310070395E0,1.106680512E0,-9.677771568E0
7.186530569E2,-1.301695466E0,1.109073281E0,-9.674181938E0
7.186718682E2,-1.299302697E0,1.116251707E0,-9.675378799E0
7.186906794E2,-1.292124271E0,1.123430252E0,-9.667003632E0
7.187094907E2,-1.275374413E0,1.106680512E0,-9.674181938E0
7.187283019E2,-1.261017561E0,1.119840980E0,-9.674181938E0
7.187471131E2,-1.262213945E0,1.110269666E0,-9.683753014E0
7.187659244E2,-1.278963685E0,1.124626637E0,-9.684949875E0
7.187847356E2,-1.299302697E0,1.118644595E0,-9.692128181E0
